MolecularWeight,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D
697.8,4.9,697.30982593,697.30982593,201.0,1330.0,0.0,6.0,12.0,3.0,50.0,0.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,521.6,11.58,6.15,3.07,17.0,8.0,6.0,0.0,0.0,3.0,0.0,1.0,5.2,1.0
267.24,-1.1,267.09675391,267.09675391,140.0,335.0,0.0,4.0,8.0,2.0,19.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,182.4,8.71,1.91,0.96,15.0,4.0,4.0,0.0,4.0,3.0,0.0,0.6,3.0,10.0
306.27,0.4,306.10406535,306.10406535,81.6,358.0,0.0,1.0,7.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,220.7,6.4,3.7,1.36,9.0,1.0,1.0,0.0,4.0,3.0,0.0,0.8,5.0,10.0
312.4,1.1,312.20490738,312.20490738,90.6,418.0,0.0,2.0,5.0,8.0,22.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,248.7,9.58,4.16,1.15,9.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,9.8,10.0
248.71,2.7,248.0828741,248.0828741,77.8,243.0,0.0,2.0,4.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,187.0,7.41,2.13,1.02,6.0,0.0,2.0,0.0,1.0,2.0,1.0,0.6,2.0,1.0
401.4,0.6,401.17508442,401.17508442,82.1,727.0,0.0,2.0,8.0,4.0,29.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,298.6,13.71,3.29,1.02,13.0,4.0,1.0,1.0,3.0,4.0,0.0,0.8,6.0,6.0
567.8,5.7,567.3130781,567.3130781,127.0,830.0,0.0,4.0,6.0,10.0,40.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,450.8,15.86,8.74,2.82,13.0,3.0,4.0,0.0,1.0,4.0,1.0,1.4,13.6,10.0
613.8,2.8,613.362805,613.362805,118.0,952.0,0.0,4.0,7.0,12.0,45.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,490.5,25.32,7.1,2.79,17.0,5.0,4.0,0.0,2.0,5.0,1.0,1.6,15.8,10.0
525.6,-2.4,525.10351377,525.10351377,251.0,848.0,0.0,3.0,13.0,10.0,34.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,374.5,17.74,5.53,2.48,14.0,4.0,2.0,1.0,3.0,4.0,0.0,1.2,11.6,10.0
153.14,-1.4,153.042593085,153.042593085,72.6,149.0,0.0,2.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,115.2,3.01,2.35,0.71,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.4,2.0,9.0
266.3,2.0,266.11676108,266.11676108,58.1,397.0,0.0,1.0,4.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,204.8,5.87,3.5,1.16,7.0,2.0,1.0,0.0,1.0,3.0,0.0,0.6,2.0,2.0
429.1,6.1,428.978323,426.981273,39.4,481.0,0.0,0.0,3.0,6.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,301.4,11.19,4.94,2.12,5.0,1.0,0.0,0.0,1.0,3.0,0.0,0.8,6.0,10.0
354.1,-1.0,353.97127,353.97127,99.1,386.0,0.0,3.0,5.0,2.0,17.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,191.2,6.48,3.11,0.81,11.0,5.0,3.0,0.0,0.0,2.0,1.0,0.6,3.0,10.0
248.3,1.0,248.0619488,248.0619488,94.6,306.0,0.0,2.0,4.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,186.3,8.1,1.89,1.47,8.0,2.0,2.0,0.0,2.0,2.0,0.0,0.6,2.0,1.0
532.5,4.8,531.1803953,531.1803953,64.9,693.0,0.0,0.0,7.0,8.0,36.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,396.0,31.42,4.51,1.65,13.0,3.0,0.0,0.0,4.0,5.0,1.0,1.2,10.2,10.0
344.8,5.0,344.1080262,344.1080262,17.8,396.0,0.0,0.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,265.5,4.38,3.6,3.24,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.8,4.0,3.0
172.21,-0.6,172.03064868,172.03064868,94.6,211.0,0.0,2.0,4.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.0,4.79,1.39,0.84,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.4,1.0,1.0
102.09,-1.5,102.042927438,102.042927438,64.4,92.0,0.0,2.0,3.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,74.2,1.78,1.61,0.6,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.4,0.8,1.0
267.31,1.0,267.06776246,267.06776246,107.0,374.0,0.0,2.0,6.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,196.1,11.45,1.66,1.17,8.0,3.0,2.0,0.0,1.0,2.0,0.0,0.6,3.0,10.0
511.6,0.0,511.0514782,511.0514782,270.0,890.0,0.0,3.0,14.0,8.0,33.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,355.5,18.06,4.71,1.7,14.0,5.0,2.0,1.0,2.0,4.0,0.0,1.0,9.6,10.0
471.5,-0.6,471.04533019,471.04533019,239.0,818.0,0.0,2.0,12.0,9.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,331.8,13.55,4.78,1.8,12.0,6.0,1.0,1.0,1.0,3.0,0.0,1.0,10.6,10.0
453.9,2.6,453.0561477,453.0561477,138.0,758.0,0.0,2.0,8.0,4.0,30.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,321.6,8.92,3.38,2.18,12.0,5.0,1.0,1.0,0.0,4.0,1.0,0.8,5.8,10.0
475.5,-1.5,475.14132132,475.14132132,182.0,893.0,0.0,5.0,9.0,7.0,33.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,350.5,28.11,2.43,1.77,16.0,7.0,3.0,2.0,1.0,3.0,0.0,1.0,9.4,10.0
204.31,-0.1,204.183778013,204.183778013,64.5,109.0,0.0,4.0,4.0,9.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,170.3,11.49,1.52,0.96,10.0,2.0,4.0,0.0,2.0,0.0,2.0,0.8,9.0,10.0
123.11,-0.6,123.043261792,123.043261792,68.9,115.0,0.0,1.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.5,3.4,1.44,0.58,5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.4,1.0,4.0
378.31,3.6,378.11668211,378.11668211,45.2,483.0,0.0,2.0,9.0,2.0,26.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,259.4,9.07,3.86,1.34,8.0,2.0,2.0,0.0,1.0,3.0,0.0,0.8,5.2,10.0
250.28,-0.1,250.05244675,250.05244675,106.0,327.0,0.0,2.0,6.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,181.8,5.32,2.97,1.26,8.0,3.0,2.0,0.0,1.0,2.0,0.0,0.6,3.0,10.0
359.4,-0.2,359.16451973,359.16451973,72.9,636.0,0.0,2.0,7.0,3.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,272.1,11.73,3.76,0.85,11.0,3.0,1.0,1.0,3.0,3.0,0.0,0.8,4.8,10.0
354.8,1.8,354.087016,354.087016,71.1,525.0,0.0,0.0,6.0,3.0,24.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,258.5,7.92,2.98,1.84,9.0,6.0,0.0,0.0,0.0,3.0,0.0,0.8,4.0,4.0
349.4,-1.1,349.10962727,349.10962727,138.0,562.0,0.0,3.0,6.0,4.0,24.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,260.6,9.38,3.29,1.38,11.0,4.0,2.0,1.0,1.0,2.0,1.0,0.8,5.8,10.0
349.4,2.7,349.08581782,349.08581782,124.0,541.0,-1.0,1.0,6.0,4.0,24.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,259.6,16.98,2.26,1.28,10.0,5.0,1.0,1.0,0.0,2.0,1.0,0.8,6.8,10.0
219.28,-0.6,219.14705815,219.14705815,84.2,190.0,0.0,4.0,5.0,4.0,15.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,168.0,5.93,2.85,1.0,11.0,4.0,4.0,0.0,1.0,1.0,1.0,0.6,5.2,10.0
321.33,0.0,321.1437041,321.1437041,122.0,404.0,0.0,1.0,8.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239.4,10.05,4.89,1.43,7.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,9.0,10.0
612.6,-0.1,612.12093748,612.12093748,259.0,1270.0,0.0,5.0,13.0,9.0,42.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,441.8,28.9,7.01,1.71,18.0,6.0,4.0,1.0,2.0,5.0,0.0,1.2,11.6,10.0
296.2,-0.5,296.06200594,296.06200594,99.1,464.0,0.0,3.0,8.0,2.0,20.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,196.2,7.43,2.82,1.19,10.0,5.0,3.0,0.0,0.0,2.0,0.0,0.6,4.0,10.0
546.6,0.4,546.09913941,546.09913941,245.0,1020.0,0.0,3.0,12.0,8.0,37.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,395.6,23.3,3.31,1.96,17.0,7.0,2.0,2.0,1.0,4.0,1.0,1.2,10.6,10.0
290.32,0.9,290.13789045,290.13789045,106.0,307.0,0.0,2.0,7.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,219.9,9.13,2.82,1.41,8.0,3.0,2.0,0.0,1.0,2.0,0.0,0.8,5.0,10.0
323.13,1.1,322.0123269,322.0123269,115.0,342.0,0.0,3.0,5.0,5.0,20.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,221.6,13.83,1.6,1.21,10.0,5.0,3.0,1.0,0.0,1.0,0.0,0.8,7.0,10.0
614.6,-9.0,614.31228554,614.31228554,353.0,872.0,0.0,13.0,19.0,9.0,42.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0,424.1,12.42,5.91,3.21,36.0,13.0,13.0,0.0,6.0,4.0,0.0,1.2,13.6,10.0
396.4,-0.4,396.04497858,396.04497858,167.0,680.0,0.0,2.0,8.0,7.0,26.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,284.9,16.25,2.36,1.81,10.0,5.0,1.0,1.0,0.0,3.0,0.0,1.0,8.6,10.0
320.32,-0.2,320.12846858,320.12846858,85.8,521.0,0.0,2.0,8.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,235.1,11.23,2.84,0.77,11.0,3.0,1.0,1.0,3.0,3.0,0.0,0.8,4.2,5.0
324.4,2.9,324.183778013,324.183778013,45.6,457.0,0.0,1.0,4.0,4.0,24.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,252.1,8.57,4.07,1.3,9.0,3.0,1.0,0.0,1.0,3.0,1.0,0.8,5.2,5.0
179.3,2.6,179.167399674,179.167399674,26.0,180.0,0.0,1.0,1.0,1.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,138.9,3.39,1.56,1.37,6.0,0.0,1.0,0.0,1.0,4.0,0.0,0.6,2.2,1.0
585.6,-7.9,585.28573644,585.28573644,332.0,819.0,0.0,13.0,17.0,10.0,40.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,408.6,10.99,8.01,2.02,33.0,13.0,13.0,0.0,4.0,3.0,0.0,1.2,14.6,10.0
470.3,2.9,469.0265972,469.0265972,138.0,746.0,0.0,2.0,7.0,4.0,30.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,329.1,8.85,3.37,2.33,12.0,5.0,1.0,1.0,0.0,4.0,1.0,0.8,5.8,10.0
333.36,0.3,333.14886967,333.14886967,64.1,545.0,0.0,1.0,7.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,251.9,13.12,2.77,0.77,10.0,3.0,0.0,1.0,3.0,3.0,0.0,0.8,4.2,6.0
267.24,0.0,267.09675391,267.09675391,93.2,484.0,0.0,2.0,6.0,3.0,19.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,193.1,8.65,2.61,0.77,8.0,4.0,2.0,0.0,0.0,2.0,0.0,0.6,4.0,10.0
307.28,2.0,307.02629157,307.02629157,142.0,428.0,0.0,1.0,7.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,220.2,12.11,2.83,0.99,8.0,4.0,1.0,1.0,0.0,2.0,0.0,0.8,6.0,10.0
265.33,2.9,265.0884979,265.0884979,92.3,291.0,0.0,2.0,4.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,202.3,15.65,1.34,1.13,6.0,1.0,2.0,0.0,0.0,2.0,1.0,0.8,6.0,10.0
307.4,5.5,307.10308534,307.10308534,44.6,386.0,0.0,0.0,2.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,247.7,7.72,3.68,1.72,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,4.0,10.0
395.4,0.0,395.03581088,395.03581088,212.0,739.0,0.0,4.0,10.0,5.0,26.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,277.9,12.64,3.5,1.41,14.0,5.0,2.0,2.0,1.0,3.0,1.0,0.8,6.6,10.0
331.34,-1.1,331.13321961,331.13321961,72.9,571.0,0.0,2.0,7.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,248.0,10.98,3.4,0.78,11.0,3.0,1.0,1.0,3.0,3.0,0.0,0.8,4.8,5.0
332.31,-3.2,332.13319899,332.13319899,201.0,518.0,0.0,7.0,8.0,6.0,23.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,234.9,7.72,4.75,0.98,16.0,7.0,6.0,1.0,1.0,1.0,0.0,0.8,7.8,10.0
270.3,0.5,270.02451792,270.02451792,135.0,349.0,0.0,2.0,7.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,189.8,5.76,3.24,1.28,9.0,4.0,2.0,0.0,1.0,2.0,0.0,0.6,3.0,10.0
378.4,1.1,378.08855747,378.08855747,149.0,645.0,0.0,3.0,7.0,5.0,26.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,278.3,11.46,3.51,1.21,13.0,6.0,1.0,3.0,0.0,2.0,1.0,0.8,6.8,10.0
349.31,1.5,349.11504457,349.11504457,76.7,448.0,0.0,1.0,8.0,5.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,250.8,7.94,3.61,1.52,10.0,2.0,1.0,0.0,3.0,3.0,1.0,0.8,5.0,10.0
86.14,-1.5,86.084398327,86.084398327,24.1,26.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.8,1.64,1.54,0.64,5.0,0.0,2.0,0.0,2.0,1.0,0.0,0.4,1.2,1.0
337.35,0.7,337.14378429,337.14378429,71.1,472.0,0.0,1.0,6.0,4.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,252.6,19.58,1.72,0.98,8.0,3.0,1.0,0.0,1.0,3.0,0.0,0.8,7.0,10.0
319.9,4.6,319.1815255,319.1815255,28.2,309.0,0.0,1.0,3.0,8.0,22.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,255.7,10.27,3.1,1.88,6.0,1.0,1.0,0.0,2.0,2.0,0.0,0.8,8.0,10.0
166.25,1.1,166.0564695,166.0564695,71.0,147.0,0.0,1.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132.7,4.8,2.11,0.74,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.4,2.0,10.0
355.9,2.6,355.14514,355.14514,48.4,406.0,0.0,2.0,4.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,276.4,13.01,3.5,1.58,8.0,1.0,2.0,0.0,2.0,3.0,0.0,0.8,6.0,10.0
225.16,-0.1,225.03857033,225.03857033,101.0,326.0,0.0,0.0,6.0,2.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,158.7,5.08,1.93,1.43,8.0,5.0,0.0,1.0,0.0,2.0,0.0,0.6,3.8,10.0
464.9,0.7,464.0986433,464.0986433,182.0,961.0,0.0,6.0,9.0,2.0,32.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,323.1,11.83,2.8,2.2,16.0,5.0,6.0,0.0,1.0,4.0,0.0,0.8,2.6,4.0
315.67,4.0,315.0273907,315.0273907,38.3,519.0,0.0,1.0,5.0,1.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,218.7,6.34,3.72,1.61,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,2.2,1.0
214.24,-1.0,214.04121336,214.04121336,97.6,299.0,0.0,2.0,4.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.4,5.82,1.93,1.26,7.0,3.0,2.0,0.0,1.0,1.0,0.0,0.6,3.0,10.0
411.8,6.4,410.017803,410.017803,43.1,383.0,0.0,0.0,2.0,7.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,299.8,11.74,5.46,1.42,5.0,0.0,0.0,0.0,1.0,3.0,1.0,0.8,7.0,10.0
295.29,2.8,295.09569129,295.09569129,84.1,423.0,0.0,2.0,4.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,226.9,16.74,1.69,1.14,7.0,2.0,2.0,0.0,0.0,3.0,0.0,0.8,5.0,8.0
224.21,-0.8,224.07970687,224.07970687,78.9,388.0,0.0,2.0,4.0,2.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,165.0,5.9,2.5,0.91,8.0,4.0,2.0,0.0,0.0,2.0,0.0,0.6,2.6,8.0
280.31,0.7,280.06301143,280.06301143,116.0,376.0,0.0,2.0,7.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,203.3,4.98,3.02,1.85,8.0,3.0,2.0,0.0,1.0,2.0,0.0,0.6,4.0,10.0
453.5,-0.7,453.04129018,453.04129018,238.0,861.0,0.0,4.0,12.0,8.0,30.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,318.2,16.39,3.14,1.83,16.0,7.0,2.0,2.0,1.0,3.0,1.0,1.0,9.6,10.0
467.5,-6.2,467.25912777,467.25912777,268.0,609.0,0.0,10.0,14.0,6.0,32.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,328.6,8.19,4.85,2.26,27.0,9.0,10.0,0.0,5.0,3.0,0.0,1.0,9.6,10.0
416.4,0.3,416.10962484,416.10962484,99.8,770.0,0.0,2.0,10.0,3.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,296.7,10.74,6.09,1.01,12.0,3.0,1.0,1.0,3.0,4.0,0.0,0.8,3.8,6.0
238.16,-0.5,238.0338193,238.0338193,121.0,390.0,0.0,1.0,6.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,165.9,4.99,2.38,1.39,10.0,6.0,1.0,1.0,0.0,2.0,0.0,0.6,3.6,10.0
505.6,2.9,505.22465702,505.22465702,140.0,745.0,0.0,3.0,8.0,12.0,35.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,389.5,14.54,5.94,3.14,13.0,5.0,3.0,0.0,1.0,3.0,1.0,1.2,14.0,10.0
456.6,2.4,456.19435995,456.19435995,119.0,749.0,0.0,3.0,7.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,346.7,21.73,3.82,2.09,15.0,4.0,3.0,0.0,3.0,4.0,1.0,1.0,8.2,10.0
229.26,-0.9,229.05211239,229.05211239,113.0,331.0,0.0,2.0,4.0,2.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,163.5,7.0,1.91,0.87,8.0,3.0,3.0,0.0,0.0,2.0,0.0,0.6,3.0,10.0
199.29,0.3,199.168462302,199.168462302,26.8,184.0,0.0,0.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.6,6.42,1.68,1.39,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,5.2,10.0
401.4,2.4,401.10454189,401.10454189,138.0,681.0,0.0,2.0,7.0,4.0,28.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,297.2,9.41,3.98,1.73,12.0,5.0,1.0,1.0,0.0,4.0,1.0,0.8,5.8,10.0
501.5,1.8,501.19884999,501.19884999,167.0,706.0,0.0,1.0,12.0,15.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,373.3,10.84,4.82,2.18,13.0,4.0,1.0,0.0,4.0,2.0,2.0,1.2,15.0,10.0
201.25,2.5,201.03606841,201.03606841,69.8,212.0,0.0,1.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152.3,8.57,1.48,0.61,6.0,1.0,1.0,0.0,1.0,3.0,0.0,0.4,1.0,2.0
287.4,5.1,287.167399674,287.167399674,3.2,342.0,0.0,0.0,1.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,245.9,12.55,3.5,1.14,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.8,5.0,10.0
340.4,2.6,340.18992602,340.18992602,118.0,376.0,0.0,4.0,4.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,274.9,36.57,2.11,1.16,10.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,10.0,10.0
406.9,7.5,405.846945,403.849896,40.5,328.0,0.0,2.0,2.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,253.5,7.95,2.94,1.7,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.6,2.0,8.0
199.16,-1.2,199.04807239,199.04807239,87.1,324.0,0.0,2.0,5.0,2.0,14.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,141.9,4.09,2.55,1.14,8.0,5.0,1.0,1.0,0.0,1.0,0.0,0.6,2.6,4.0
